(41610, 4.228, 528.0, 2232.384)
(41691, 4.26, 686.0, 2922.3599999999997)
(41772, 4.224, 657.2, 2776.0128000000004)
(41854, 4.248, 630.4, 2677.9392000000003)
(41935, 4.192, 504.4, 2114.4448)
(42016, 4.26, 470.4, 2003.9039999999998)
(42097, 4.26, 475.6, 2026.056)
(42179, 4.284, 471.6, 2020.3344)
(42260, 4.232, 469.2, 1985.6544000000001)
(42341, 4.312, 484.4, 2088.7328)
(42423, 4.208, 458.8, 1930.6304000000002)
(42504, 4.296, 477.6, 2051.7696)
(42585, 4.292, 604.8, 2595.8016)
(42667, 4.248, 558.0, 2370.384)
(42748, 4.236, 542.4, 2297.6063999999997)
(42829, 4.312, 530.0, 2285.36)
(42911, 4.264, 520.8, 2220.6911999999998)
(42992, 4.196, 780.4, 3274.5584)
(43073, 4.268, 634.8, 2709.3263999999995)
(43155, 4.236, 642.4, 2721.2063999999996)
(43236, 4.272, 546.0, 2332.512)
(43317, 4.22, 503.6, 2125.192)
(43398, 4.272, 502.8, 2147.9616)
(43480, 4.224, 490.4, 2071.4496)
(43561, 4.26, 491.6, 2094.216)
(43642, 4.264, 474.8, 2024.5472000000002)
(43724, 4.28, 472.8, 2023.584)
(43805, 4.244, 418.8, 1777.3872)
(43886, 4.316, 455.6, 1966.3696)
(43968, 4.324, 451.6, 1952.7184)
(44049, 4.24, 480.4, 2036.896)
(44130, 4.308, 448.4, 1931.7071999999998)
(44212, 4.304, 477.6, 2055.5904)
(44293, 4.232, 675.6, 2859.1392)
(44374, 4.18, 669.6, 2798.928)
(44456, 4.256, 693.2, 2950.2592000000004)
(44537, 4.216, 601.6, 2536.3456)
(44618, 4.288, 574.0, 2461.3120000000004)
(44699, 4.252, 530.0, 2253.56)
(44781, 4.3, 516.0, 2218.7999999999997)
(44862, 4.22, 487.6, 2057.672)
(44943, 4.288, 422.4, 1811.2512)
(45025, 4.34, 402.0, 1744.6799999999998)
(45106, 4.268, 395.6, 1688.4208)
(45187, 4.28, 391.2, 1674.336)
(45269, 4.328, 410.4, 1776.2112)
(45350, 4.296, 396.4, 1702.9344)
(45431, 4.212, 398.4, 1678.0607999999997)
(45513, 4.324, 450.0, 1945.8)
(45594, 4.26, 503.6, 2145.336)
(45675, 4.268, 490.8, 2094.7344)
(45757, 4.26, 481.6, 2051.616)
(45838, 4.264, 505.6, 2155.8784)
(45919, 4.208, 511.6, 2152.8128)
(46000, 4.324, 522.8, 2260.5872)
(46082, 4.252, 508.4, 2161.7167999999997)
(46163, 4.252, 538.0, 2287.576)
(46244, 4.208, 459.2, 1932.3136)
(46326, 4.288, 430.4, 1845.5552)
(46407, 4.344, 412.8, 1793.2032000000002)
(46488, 4.228, 412.4, 1743.6272)
(46570, 4.288, 402.0, 1723.776)
(46651, 4.312, 422.4, 1821.3888)
